temp_k_4,temp_k_3,temp_k_2,temp_k_1,temp_k,cons_k_5,cons_k_4,cons_k_3,cons_k_2,cons_k_1,holiday,cons_k
22.54538839,23.08451186,22.7373596,22.07788486,22.10613986,127.1,126.3,134.9,131.1,129.5,0,130.9
22.82473669,22.54538839,23.08451186,22.7373596,22.07788486,133.9,127.1,126.3,134.9,131.1,0,129.5
23.34444382,22.82473669,22.54538839,23.08451186,22.7373596,134.4,133.9,127.1,126.3,134.9,0,131.1
25.36795062,23.34444382,22.82473669,22.54538839,23.08451186,137.6,134.4,133.9,127.1,126.3,1,134.9
25.23580973,25.36795062,23.34444382,22.82473669,22.54538839,125.5,137.6,134.4,133.9,127.1,1,126.3
23.98930133,25.23580973,25.36795062,23.34444382,22.82473669,133.8,125.5,137.6,134.4,133.9,0,127.1
22.08190044,23.98930133,25.23580973,25.36795062,23.34444382,140.6,133.8,125.5,137.6,134.4,0,133.9
20.65893475,22.08190044,23.98930133,25.23580973,25.36795062,141.2,140.6,133.8,125.5,137.6,0,134.4
17.94562818,20.65893475,22.08190044,23.98930133,25.23580973,159.6,141.2,140.6,133.8,125.5,0,137.6
16.49162609,17.94562818,20.65893475,22.08190044,23.98930133,173.1,159.6,141.2,140.6,133.8,0,125.5
17.06171891,16.49162609,17.94562818,20.65893475,22.08190044,175.1,173.1,159.6,141.2,140.6,1,133.8
17.41040851,17.06171891,16.49162609,17.94562818,20.65893475,186.7,175.1,173.1,159.6,141.2,1,140.6
17.6200601,17.41040851,17.06171891,16.49162609,17.94562818,180.1,186.7,175.1,173.1,159.6,0,141.2
17.73410073,17.6200601,17.41040851,17.06171891,16.49162609,185.3,180.1,186.7,175.1,173.1,0,159.6
17.73135284,17.73410073,17.6200601,17.41040851,17.06171891,195,185.3,180.1,186.7,175.1,0,173.1
17.59988205,17.73135284,17.73410073,17.6200601,17.41040851,178.9,195,185.3,180.1,186.7,0,175.1
17.5752901,17.59988205,17.73135284,17.73410073,17.6200601,181.2,178.9,195,185.3,180.1,1,186.7
18.55659626,17.5752901,17.59988205,17.73135284,17.73410073,160.6,181.2,178.9,195,185.3,1,180.1
19.83992298,18.55659626,17.5752901,17.59988205,17.73135284,165.7,160.6,181.2,178.9,195,1,185.3
22.27618509,19.83992298,18.55659626,17.5752901,17.59988205,165.3,165.7,160.6,181.2,178.9,0,195
20.69062889,22.27618509,19.83992298,18.55659626,17.5752901,178.5,165.3,165.7,160.6,181.2,0,178.9
